polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2231, 2186, 181, 28635, 0.855761
1,2499, 2445, 230, 28876.6, 0.593636
2,2436, 2422.5, 209, 29124.1, 0.700801
3,2450, 2455, 243, 29378.5, 0.521391
4,4526, 2311.5, 409, 29618, 0.339999
5,1776, 1747.5, 203, 29834.5, 0.541578
6,2507, 2495.5, 207, 30074.5, 0.73523
7,2597, 2532.5, 245, 30331.6, 0.543688
8,7131, 2363, 655, 30583.5, 0.208871
9,2520, 2524.5, 204, 30826.7, 0.760939
10,2738, 2733.5, 212, 31087.3, 0.765547
11,2486, 2482, 198, 31330.1, 0.796857
12,2396, 2347.5, 229, 31575.2, 0.57415
13,2376, 2367, 208, 31815.5, 0.690128
14,2461, 2483.5, 214, 32050, 0.675296
15,5061, 2581.5, 454, 32295.8, 0.308556
16,2263, 2233, 183, 32525.7, 0.849165
17,4264, 2153.5, 415, 32733.8, 0.311122
18,5430, 2968, 463, 33005.2, 0.318308
19,4310, 2190, 412, 33224.6, 0.319075
20,2479, 2448.5, 203, 33470.5, 0.755952
21,2308, 2334.5, 201, 33693.1, 0.717883
22,2247, 2269.5, 208, 33918.1, 0.652659
23,2425, 2424.5, 215, 34160.5, 0.659242
24,2471, 2496, 228, 34403.4, 0.597328
25,2484, 2458.5, 206, 34647.8, 0.735575
26,3897, 3893, 293, 34962.6, 0.570434
27,6060, 2248.5, 595, 35210.8, 0.215104
28,5229, 2526.5, 422, 35459.6, 0.368981
29,1853, 1796.5, 187, 35659.3, 0.665889
30,2878, 2880, 239, 35933.6, 0.633147
31,2464, 2463.5, 231, 36177, 0.580265
32,1948, 1885, 205, 36391.2, 0.582494
33,6476, 2138, 636, 36608.8, 0.201188
34,2385, 2408, 229, 36851.9, 0.571515
35,2202, 2180.5, 187, 37081.5, 0.791305
36,2005, 2027.5, 205, 37307.2, 0.599538
37,2043, 2053, 197, 37522.3, 0.661524
38,2257, 2264.5, 204, 37758.4, 0.681524
39,2518, 2462, 231, 38001.5, 0.592982
40,4668, 2347.5, 402, 38254.4, 0.362985
41,2324, 2324, 195, 38490, 0.768027
42,2138, 2140, 198, 38728.4, 0.68531
43,4166, 2250, 390, 38957.6, 0.344191
44,2302, 2293, 196, 39190.2, 0.753014
45,2429, 2442.5, 212, 39427, 0.67915
46,5070, 2624.5, 445, 39683.2, 0.321735
47,2432, 2432, 222, 39920.4, 0.620108
48,2206, 2157, 192, 40158, 0.751991
49,2064, 2038.5, 182, 40383, 0.783027
50,2323, 2286.5, 228, 40624.2, 0.561551
51,4783, 2406, 415, 40863.1, 0.348991
52,2073, 2034.5, 186, 41080.2, 0.75298
53,2601, 2621, 230, 41324.6, 0.617866
54,2277, 2244.5, 194, 41558.6, 0.760273
55,2283, 2289.5, 200, 41784.5, 0.717226
56,1968, 1918.5, 209, 42004.6, 0.566164
57,2421, 2357, 220, 42239.2, 0.628578
58,2310, 2246.5, 213, 42475.7, 0.639827
59,4603, 2072, 427, 42691.3, 0.317245
60,2292, 2222.5, 219, 42923.6, 0.600532
61,2449, 2469.5, 234, 43175.3, 0.56204
62,1987, 1953, 181, 43385.6, 0.762168
63,2472, 2474, 208, 43629.3, 0.718012
64,2652, 2663, 212, 43881.9, 0.741501
65,2128, 2080, 197, 44095.7, 0.689047
66,3808, 1938, 374, 44321, 0.342108
67,2739, 2742.5, 218, 44571, 0.724251
68,2528, 2504.5, 205, 44820.5, 0.755926
69,1963, 1925, 192, 45031.5, 0.669157
70,2320, 2281.5, 202, 45271.2, 0.714488
71,2372, 2305, 239, 45521.7, 0.52183
72,2296, 2232, 218, 45753, 0.607112
73,2527, 2522.5, 240, 46007.4, 0.551306
74,2714, 2668, 205, 46237, 0.811544
75,2458, 2398.5, 209, 46471.1, 0.70713
76,2141, 2108.5, 185, 46700.1, 0.78611
77,2440, 2433.5, 210, 46937, 0.695282
78,2533, 2461.5, 242, 47190.8, 0.543518
79,2341, 2337.5, 198, 47403.9, 0.750379
80,2106, 2134, 210, 47631.3, 0.600108
81,2031, 1967.5, 210, 47851.8, 0.578737
82,2354, 2321, 231, 48094.3, 0.554361
83,1941, 1884.5, 197, 48307.9, 0.628497
84,2279, 2313, 222, 48546.3, 0.581096
85,1762, 1761, 191, 48751.6, 0.606945
86,2756, 2772.5, 219, 48986.8, 0.722106
87,2003, 1986.5, 169, 49191.1, 0.881287
88,2564, 2566, 215, 49439.5, 0.697029
89,2417, 1430, 231, 49599.4, 0.569197
90,2210, 2241, 225, 49837, 0.548576
91,2303, 2277.5, 195, 50076.1, 0.761087
92,2337, 2349, 208, 50303.2, 0.6788
93,5175, 2418, 470, 50537.7, 0.294391
94,2077, 1020.5, 238, 50672.1, 0.460779
95,2445, 2407, 205, 50914.7, 0.731107
96,2443, 2405.5, 205, 51163.5, 0.730509
97,2090, 2078, 188, 51390.7, 0.743088
98,2529, 2504.5, 186, 51614.5, 0.918613
99,801, 792.5, 99, 51729.2, 1.027
