polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2995, 2991.5, 200, 121165, 0.940907
1,2802, 2756.5, 186, 121376, 1.01778
2,2861, 2808.5, 191, 121590, 0.98551
3,2556, 2571, 199, 121808, 0.811082
4,3165, 3116, 206, 122036, 0.937236
5,3062, 3040.5, 191, 122262, 1.05475
6,3167, 3148.5, 194, 122492, 1.05744
7,2612, 2606.5, 187, 122700, 0.938642
8,5163, 2620.5, 388, 122912, 0.430971
9,2978, 2958.5, 203, 123135, 0.908118
10,2901, 2876.5, 188, 123351, 1.03144
11,3337, 3277, 220, 123589, 0.866405
12,2427, 2388.5, 178, 123790, 0.962586
13,2692, 2690.5, 200, 124004, 0.845717
14,2761, 2727.5, 187, 124230, 0.992186
15,6017, 2551, 406, 124440, 0.45871
16,1575, 1561.5, 132, 124591, 1.13591
17,2424, 2387.5, 192, 124796, 0.826304
18,1170, 1156.5, 115, 124923, 1.11173
19,3022, 3000, 189, 125145, 1.06312
20,2060, 2035.5, 161, 125330, 0.998678
21,5076, 2583.5, 367, 125547, 0.473587
22,2828, 2798, 189, 125765, 0.994868
23,2708, 2679, 195, 125977, 0.89493
24,2482, 2458, 182, 126191, 0.941605
25,5931, 2941, 401, 126416, 0.463499
26,2704, 2663, 207, 126636, 0.793005
27,1141, 1135, 111, 126761, 1.16372
28,3049, 3031, 194, 126988, 1.01804
29,3037, 3003, 206, 127212, 0.899332
30,5132, 2437.5, 374, 127416, 0.461056
31,2599, 2596.5, 190, 127630, 0.904709
32,3189, 3147.5, 211, 127862, 0.900118
33,2813, 2814, 200, 128090, 0.88373
34,3342, 3296, 214, 128328, 0.917041
35,2869, 2835, 196, 128552, 0.938487
36,3063, 3042, 193, 128780, 1.03334
37,5198, 2967.5, 408, 128999, 0.392397
38,926, 912.5, 100, 129111, 1.16365
39,2472, 2434.5, 179, 129317, 0.96951
40,4583, 1406, 340, 129467, 0.498198
41,3349, 3322, 200, 129705, 1.05212
42,1064, 1051.5, 110, 129826, 1.10501
43,5940, 2887.5, 399, 130048, 0.468868
44,3242, 3205, 214, 130277, 0.889601
45,3402, 3366.5, 218, 130514, 0.899562
46,3035, 3040.5, 205, 130737, 0.90753
47,2372, 2340, 173, 130929, 0.995938
48,2991, 2972, 189, 131156, 1.05221
49,2708, 2706, 187, 131374, 0.97314
50,5410, 2358, 378, 131572, 0.475799
51,5786, 3072, 402, 131798, 0.449921
52,2955, 2935, 200, 132023, 0.928341
53,2377, 2381.5, 173, 132226, 0.998037
54,2694, 2638, 212, 132460, 0.753244
55,2891, 2835.5, 202, 132686, 0.890339
56,3098, 3070, 212, 132915, 0.866203
57,3173, 3181.5, 207, 133143, 0.930549
58,2990, 2953, 205, 133368, 0.894074
59,2767, 2726.5, 202, 133596, 0.85215
60,3015, 2971, 210, 133821, 0.859129
61,6031, 2913.5, 409, 134039, 0.453057
62,7112, 2449, 546, 134251, 0.299789
63,2854, 2843, 194, 134465, 0.952929
64,3318, 3270.5, 214, 134703, 0.910455
65,3004, 3004.5, 196, 134928, 0.982647
66,3080, 3077, 209, 135176, 0.88607
67,2965, 2934.5, 188, 135397, 1.05419
68,2666, 2644, 177, 135610, 1.06936
69,2951, 2903, 205, 135835, 0.882412
70,3128, 3164, 233, 136098, 0.724044
71,2581, 2574.5, 178, 136307, 1.02367
72,3047, 3037.5, 205, 136533, 0.911118
73,2427, 2414, 194, 136742, 0.810357
74,5195, 2330, 382, 136957, 0.447372
75,2886, 2860, 185, 137170, 1.05965
76,3187, 3191, 212, 137404, 0.891087
77,3017, 2979.5, 206, 137629, 0.89341
78,2436, 2419, 175, 137840, 0.999565
79,2146, 2152, 179, 138035, 0.841654
80,2819, 2787.5, 197, 138250, 0.912793
81,3189, 3148.5, 197, 138480, 1.0326
82,2828, 2781, 197, 138696, 0.915708
83,2526, 2507.5, 177, 138906, 1.0132
84,1786, 1748.5, 144, 139068, 1.08235
85,3135, 3128, 209, 139294, 0.901893
86,2707, 2707, 192, 139509, 0.922775
87,2232, 2218, 188, 139714, 0.793576
88,3013, 2995.5, 199, 139937, 0.956099
89,2949, 2941, 205, 140161, 0.881814
90,2443, 2453.5, 208, 140389, 0.709589
91,2262, 2225, 184, 140601, 0.839589
92,2392, 2389, 193, 140810, 0.806968
