polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2013, 1995.5, 206, 51896.6, 0.5961
1,2095, 2088, 214, 52069.7, 0.574866
2,2150, 2137.5, 222, 52245.3, 0.548204
3,2076, 2043, 214, 52417.9, 0.569652
4,2141, 2115, 218, 52594.2, 0.566127
5,2292, 2263.5, 222, 52775.4, 0.584411
6,2382, 2359.5, 236, 52962.1, 0.537437
7,1821, 1794.5, 207, 53126.8, 0.534047
8,2040, 2013, 212, 53298.1, 0.570385
9,2046, 2028.5, 216, 53470.9, 0.551072
10,2039, 2026.5, 216, 53641, 0.549186
11,2319, 2300.5, 230, 53823.9, 0.550877
12,1956, 1937.5, 212, 53990.4, 0.546899
13,2268, 2250.5, 235, 54170.6, 0.51608
14,2159, 2156, 220, 54347.1, 0.560554
15,1807, 1782.5, 195, 54509.1, 0.597171
16,1941, 1931.5, 206, 54676.5, 0.574779
17,2287, 2266.5, 223, 54857.1, 0.577918
18,2090, 2075.5, 220, 55032.1, 0.542639
19,2265, 2239, 232, 55213.2, 0.528813
20,2155, 2146.5, 220, 55388.9, 0.559515
21,2109, 2086.5, 220, 55563.5, 0.547572
22,2190, 2176, 214, 55739.3, 0.600934
23,2222, 2201.5, 216, 55917, 0.598476
24,2078, 2080, 216, 56091.2, 0.55969
25,2053, 2029, 214, 56264.9, 0.563341
26,1772, 1753.5, 206, 56427.6, 0.524734
27,2270, 2250, 230, 56608.5, 0.539237
28,2037, 2015.5, 212, 56780.6, 0.569546
29,2035, 2008, 210, 56953, 0.579877
30,1938, 1920, 212, 57119.5, 0.541866
31,1856, 1821.5, 210, 57285.8, 0.52887
32,2176, 2153.5, 224, 57461.6, 0.54497
33,1931, 1921.5, 208, 57627.3, 0.560874
34,1981, 1957.5, 209, 57797.1, 0.569904
35,1852, 1844.5, 200, 57957.7, 0.581823
36,2203, 2183, 220, 58136.6, 0.571978
37,2057, 2045, 214, 58311.5, 0.564438
38,2308, 2279.5, 236, 58494.5, 0.520741
39,2078, 2069.5, 223, 58668.5, 0.525104
40,2258, 2226, 221, 58848.2, 0.580964
41,2159, 2154.5, 220, 59026.5, 0.560554
42,1964, 1953, 216, 59195.8, 0.528986
43,2280, 2259, 226, 59377.5, 0.560955
44,1891, 1873.5, 210, 59542.6, 0.538844
45,2039, 2019, 218, 59714.6, 0.539156
46,2010, 1980, 214, 59889.1, 0.551542
47,1933, 1898, 212, 60056.9, 0.540468
48,2162, 2136, 214, 60232.5, 0.59325
49,2016, 2001, 216, 60404.4, 0.542991
50,1908, 1898.5, 205, 60569.3, 0.570533
51,2051, 2043, 212, 60743.9, 0.573461
52,1895, 1899, 208, 60908.1, 0.550418
53,2122, 2104.5, 214, 61084.8, 0.582274
54,2158, 2133.5, 224, 61262.6, 0.540462
55,2127, 2121.5, 223, 61438.1, 0.537487
56,2019, 1996.5, 221, 61610.6, 0.519471
57,2031, 2008.5, 206, 61780.3, 0.60143
58,2028, 2017, 210, 61949.4, 0.577882
59,2377, 2354.5, 238, 62136.1, 0.527333
60,2126, 2108, 216, 62310.5, 0.572619
61,2027, 2009.5, 215, 62484.2, 0.551045
62,2058, 2029.5, 216, 62658.1, 0.554304
63,2014, 2010, 216, 62827.7, 0.542453
64,2135, 2110.5, 212, 63002.5, 0.596947
65,2189, 2162, 230, 63182.7, 0.519996
66,2024, 2001, 216, 63354, 0.545146
67,2171, 2141, 220, 63528.8, 0.563669
68,1952, 1932, 210, 63697.7, 0.556226
69,2132, 2110, 225, 63872.9, 0.529215
70,2111, 2083, 226, 64046.8, 0.519375
71,1942, 1921, 207, 64213.8, 0.569532
72,1807, 1785.5, 210, 64382.5, 0.514908
73,2152, 2130.5, 220, 64558.9, 0.558736
74,2200, 2169.5, 212, 64731.1, 0.615121
75,2237, 2225, 232, 64912, 0.522276
76,2262, 2221.5, 220, 65089.9, 0.587296
77,1798, 1784, 204, 65250.6, 0.542924
78,2313, 2287, 220, 65434.3, 0.600538
79,2135, 2114, 219, 65610.2, 0.559396
